lld,label,entropy,length
plus,0,2.0,4
en,0,1.0,2
itunes,0,2.584962500721156,6
play,0,2.0,4
maps,0,2.0,4
player,0,2.584962500721156,6
docs,0,2.0,4
go,0,1.0,2
drive,0,2.321928094887362,5
parked-content,0,3.378783493486176,14
support,0,2.5216406363433186,7
get,0,1.584962500721156,3
sites,0,1.9219280948873623,5
www.ncbi.nlm,0,2.8553885422075336,12
httpd,0,1.9219280948873623,5
ec,0,1.0,2
m,0,-0.0,1
accounts,0,2.75,8
l,0,-0.0,1
wpa,0,1.584962500721156,3
fpdownload,0,2.9219280948873623,10
advancedsearch2,0,3.189898095464287,15
validator,0,2.94770277922009,9
windows,0,2.5216406363433186,7
web,0,1.584962500721156,3
w,0,-0.0,1
api,0,1.584962500721156,3
developers,0,2.8464393446710154,10
bp,0,1.0,2
apps,0,1.5,4
policies,0,2.75,8
mp.weixin,0,2.94770277922009,9
chrome,0,2.584962500721156,6
i0,0,1.0,2
i1,0,1.0,2
mail,0,2.0,4
i2,0,1.0,2
v,0,-0.0,1
open,0,2.0,4
commons,0,2.2359263506290326,7
s3,0,1.0,2
1.bp,0,2.0,4
4.bp,0,2.0,4
2.bp,0,2.0,4
3.bp,0,2.0,4
abcnews,0,2.807354922057604,7
feeds,0,1.9219280948873623,5
www.news,0,2.0,8
fr,0,1.0,2
jigsaw,0,2.584962500721156,6
de,0,1.0,2
translate,0,2.725480556997868,9
dev,0,1.584962500721156,3
money,0,2.321928094887362,5
upload,0,2.584962500721156,6
dx,0,1.0,2
books,0,1.9219280948873623,5
beian,0,2.321928094887362,5
i,0,-0.0,1
codex,0,2.321928094887362,5
t,0,-0.0,1
del,0,1.584962500721156,3
blog,0,2.0,4
es,0,1.0,2
download,0,2.5,8
widgets,0,2.807354922057604,7
store,0,2.321928094887362,5
mobile,0,2.584962500721156,6
scholar,0,2.807354922057604,7
wiki,0,1.5,4
finance,0,2.5216406363433186,7
timesofindia,0,3.188721875540867,12
dl,0,1.0,2
news,0,2.0,4
ru,0,1.0,2
developer,0,2.6416041678685933,9
groups,0,2.584962500721156,6
de-de,0,1.5219280948873621,5
photos,0,2.2516291673878226,6
item,0,2.0,4
webcache,0,2.5,8
platform,0,3.0,8
images,0,2.584962500721156,6
cn,0,1.0,2
jetpack,0,2.807354922057604,7
products,0,3.0,8
pbs,0,1.584962500721156,3
outlook,0,2.1280852788913944,7
cdn,0,1.584962500721156,3
plusone,0,2.807354922057604,7
it,0,1.0,2
economictimes,0,2.931208948910323,13
lh3,0,1.584962500721156,3
feedproxy,0,2.94770277922009,9
papers,0,2.2516291673878226,6
players,0,2.807354922057604,7
market,0,2.584962500721156,6
widget,0,2.584962500721156,6
shang,0,2.321928094887362,5
podcasts,0,2.75,8
webscan,0,2.807354922057604,7
click,0,1.9219280948873623,5
service,0,2.5216406363433186,7
pt,0,1.0,2
e,0,-0.0,1
login,0,2.321928094887362,5
b,0,-0.0,1
storage,0,2.807354922057604,7
ja,0,1.0,2
open.weixin,0,2.913977073182752,11
app,0,0.9182958340544896,3
smile,0,2.321928094887362,5
tv,0,1.0,2
user.qzone,0,3.121928094887362,10
graph,0,2.321928094887362,5
sports,0,2.2516291673878226,6
tech,0,2.0,4
all,0,0.9182958340544896,3
svn,0,1.584962500721156,3
detail,0,2.584962500721156,6
visitor.r20,0,3.0957952550009344,11
ad,0,1.0,2
feedburner,0,2.6464393446710157,10
s.click,0,2.5216406363433186,7
bszs,0,1.5,4
lh4,0,1.584962500721156,3
en-gb,0,2.321928094887362,5
tianqi,0,2.2516291673878226,6
fr-fr,0,1.5219280948873621,5
pecl,0,2.0,4
cts,0,1.584962500721156,3
sns.qzone,0,2.725480556997868,9
in,0,1.0,2
video,0,2.321928094887362,5
s3-eu-west-1,0,2.8553885422075336,12
s-media-cache-ak0,0,3.2927701939369904,17
analytics,0,2.94770277922009,9
bbs,0,0.9182958340544896,3
music,0,2.321928094887362,5
dictionary,0,3.121928094887362,10
www,0,-0.0,3
jq,0,1.0,2
embed,0,1.9219280948873623,5
rover,0,1.9219280948873623,5
fortawesome,0,3.0957952550009344,11
car.auto,0,2.75,8
about,0,2.321928094887362,5
metrika,0,2.807354922057604,7
profiles,0,3.0,8
trends,0,2.584962500721156,6
scontent,0,2.5,8
s3-us-west-2,0,2.792481250360578,12
