lld,label,entropy,length,numbchars
dverteren,0,2.4193819456463714,9,0.0
adverteren,0,2.6464393446710153,10,0.0
blocklists.settings.services,0,3.529696439528413,28,0.07142857142857142
content,0,2.2359263506290326,7,0.0
gdb,0,1.584962500721156,3,0.0
incoming.telemetry,0,3.4613201402110083,18,0.05555555555555555
link,0,2.0,4,0.0
lld,0,0.9182958340544896,3,0.0
ocsp,0,2.0,4,0.0
paaagf3i,1,2.4056390622295662,8,0.125
paaagf3q,1,2.4056390622295662,8,0.125
paaagf3y,1,2.4056390622295662,8,0.125
paaagf4a,1,2.0,8,0.125
paaagf4i,1,2.4056390622295662,8,0.125
paaagf4q,1,2.4056390622295662,8,0.125
paaagf4y,1,2.4056390622295662,8,0.125
paaagf5a,1,2.0,8,0.125
paaagf5i,1,2.4056390622295662,8,0.125
paaagf5q,1,2.4056390622295662,8,0.125
paaagf5y,1,2.4056390622295662,8,0.125
paaaggaa,1,1.2987949406953985,8,0.0
paaaggai,1,1.75,8,0.0
paaaggaq,1,1.75,8,0.0
paaaggay,1,1.75,8,0.0
paaaggba,1,1.75,8,0.0
paaaggbi,1,2.1556390622295662,8,0.0
paaaggbq,1,2.1556390622295662,8,0.0
paaaggby,1,2.1556390622295662,8,0.0
paaaggca,1,1.75,8,0.0
paaaggci,1,2.1556390622295662,8,0.0
paaaggcq,1,2.1556390622295662,8,0.0
paaaggcy,1,2.1556390622295662,8,0.0
paaaggda,1,1.75,8,0.0
paaaggdi,1,2.1556390622295662,8,0.0
paaaggdq,1,2.1556390622295662,8,0.0
scifi.meta,0,3.121928094887362,10,0.1
speed,0,1.9219280948873623,5,0.0
www,0,-0.0,3,0.0
